restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,playCount,diggCount,shareCount,tiktok_post_count,gmaps_reviews_scraped,gmaps_avg_rating_scraped,wongnai_rating,wongnai_reviews,facebook_likes
2773,The Continent Hotel Staycation,The Continent Hotel Staycation,Asok,0.0,0.0,0.0,0.0,10.0,3.5,,,
2780,King Seafood (Pattaya),ร้านอาหารคิงส์ซีฟู้ด (พัทยา),Bangkok,0.0,0.0,0.0,0.0,5.0,4.4,,,
2782,,เดอะร็อคหัวหิน บีชฟร้อนท์ สปา รีสอร์ท สเตเคชั่น (หัวหิน),Bangkok,0.0,0.0,0.0,0.0,,,,,
2784,,อบูชิ ประชาอุทิศ,Bangkok,0.0,0.0,0.0,0.0,,,,,
2788,The Royal Kitchen Chinese Restaurant Royal Paradise Patong (Phuket),เดอะรอยัล คิทเช่น ไชนีส เรสเตอรอง รอยัล พาราไดซ์ ป่าตอง (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,5.0,2.6,,,
2791,,วินแดม หัวหิน ปราณบุรี รีสอร์จ แอนด์ วิลล่า สเตเคชั่น (หัวหิน),Bangkok,0.0,0.0,0.0,0.0,,,,,
2792,,Scoozi Urban Pizza Emquartier,Bangkok,0.0,0.0,0.0,0.0,,,,,
2794,,Scoozi Urban Pizza Market Village (Hua Hin),Bangkok,0.0,0.0,0.0,0.0,,,,,
2795,,Scoozi Urban Pizza Central Chaengwatta,Bangkok,0.0,0.0,0.0,0.0,,,,,
2799,,Josh Hotel Staycation,Bangkok,0.0,0.0,0.0,0.0,,,,,
2801,Sundance Dayclub (Hua Hin),ซันแดนซ์ เดย์คลับ (หัวหิน),Bangkok,0.0,0.0,0.0,0.0,5.0,4.2,,,
2802,Novotel Bangkok Bangna Staycation,โรงแรมโนโวเทล บางนา สเตเคชั่น,Bangkok,0.0,0.0,0.0,0.0,,,,,
2805,,แหลมเจริญ ซีคอนสแควร์ ศรีนครินทร์,Bangkok,0.0,0.0,0.0,0.0,,,,,
2806,Johann Mala,โจฮัน หม่าล่า,Phra Khanong,0.0,0.0,0.0,0.0,5.0,4.8,,,
2808,,Nalu Bar & Grill (Phuket),Bangkok,0.0,0.0,0.0,0.0,,,,,
2809,,สองฝั่งคลอง ดินเนอร์ครุยส์,Bangkok,0.0,0.0,0.0,0.0,,,,,
2810,The Coffee Club Ashlee Hub Hotel Patong (Phuket),เดอะ คอฟฟี่ คลับ แอชลี ฮับ ป่าตอง (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,5.0,4.6,,,
2811,The Coffee Club TCC OZO Kata (Phuket),เดอะ คอฟฟี่ คลับ TCC OZO กะตะ (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,5.0,2.8,,,
2813,Rendezvous Lounge & Bar The Landmark Bangkok Hotel,รองเดซ์วูส์ เลาจ์ แอนด์ บาร์ โรงแรมแลนด์มาร์ค,Bangkok,0.0,0.0,0.0,1.0,5.0,4.4,,,
2814,,กระเพาะทองแดง,Bangkok,0.0,0.0,0.0,0.0,,,,,
2816,,โซแมก พญาไท,Bangkok,0.0,0.0,0.0,0.0,,,,,
2817,Buonissimo Italian Restaurant & Pizzeria,Buonissimo Italian Restaurant & Pizzeria,Samut Prakan,0.0,0.0,0.0,0.0,5.0,5.0,,,
2820,Grand Mercure Bangkok Atrium Staycation,แกรนด์ เมอร์เคียว กรุงเทพฯ เอเทรียม สเตเคชั่น,Ratchada,0.0,0.0,0.0,0.0,5.0,4.4,,,
2823,Fat Belly (Pattaya),แฟตเบลลี่  (พัทยา),Bangkok,81958261.0,680473.0,245651.0,20.0,5.0,4.8,,,
2824,The Chocolate Factory Pattanakarn,เดอะช็อกโกแลต แฟคทอรี่ พัฒนาการ,Bangkok,0.0,0.0,0.0,0.0,10.0,3.8,,,
2825,,เดอะช็อกโกแลต แฟคทอรี่ เขาพระตำหนัก (พัทยา),Bangkok,0.0,0.0,0.0,0.0,,,,,
2826,,เดอะช็อกโกแลต แฟคทอรี่ (หัวหิน),Bangkok,0.0,0.0,0.0,0.0,,,,,
2828,,เลอปารีส เอกมัย,Bangkok,0.0,0.0,0.0,0.0,,,,,
2830,Cross Pratamnak Staycation (Pattaya),ครอส พระตำหนัก สเตเคชั่น (พัทยา),Bangkok,0.0,0.0,0.0,0.0,5.0,5.0,,,
2841,Mode Sathorn Hotel Staycation,โหมด สาทร โฮเต็ล สเตเคชั่น,Silom,0.0,0.0,0.0,0.0,,,,,
2845,Baba Beach Restaurant at Baba Beach Club (Hua Hin),บาบา บีช เรสเตอรองค์ โรงแรมบาบา บีชคลับ (หัวหิน),Bangkok,0.0,0.0,0.0,0.0,10.0,3.8,,,
2848,,ห้องอาหารจีนเดอะเพิร์ล โรงแรมรัตนชล (ชลบุรี),Bangkok,0.0,0.0,0.0,0.0,,,,,
2850,,พันวาเฮ้าส์ เคปพันวา โฮเทล แอนด์ สปา (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,,,,,
2853,Above Riva at Riva Arun,Above Riva at Riva Arun,Bangkok,0.0,0.0,0.0,1.0,5.0,4.8,,,
2856,Babble and Grill at Riva Surya Bangkok,บับเบิ้ล แอนด์ กริล โรงแรมริว่า เซอย่า กรุงเทพ,Bangkok,0.0,0.0,0.0,2.0,5.0,4.6,,,
2857,,โฟร์การ์ซงส์,Bangkok,0.0,0.0,0.0,0.0,,,,,
2859,,อังสนา ลากูน่า สเตเคชั่น (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,,,,,
2861,Karayama Siam Square One,คารายามะ สยามสแควร์วัน,Siam,0.0,0.0,0.0,0.0,5.0,4.8,,,
2863,,คารายามะ เซ็นทรัลพลาซ่าพระราม3,Bangkok,0.0,0.0,0.0,0.0,,,,,
2864,Karayama Cosmo Bazaar ,คารายามะ คอสโม บาซาร์,Muangthong Thani,0.0,0.0,0.0,0.0,5.0,5.0,,,
2865,,คารายามะ เซ็นจูรี่อ่อนนุช,Bangkok,0.0,0.0,0.0,0.0,,,,,
