restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,phone_number,total_revenue,total_bookings,total_guests,avg_revenue_per_booking,no_show_rate,searchString,gmaps_reviews_scraped,gmaps_avg_rating_scraped,playCount,diggCount,shareCount,tiktok_post_count,master_index,wongnai_rating,wongnai_reviews,facebook_likes,facebook_followers,tripadvisor_rating,tripadvisor_rank,raw_engagement,log_engagement,momentum_score,log_revenue,log_bookings,internal_score,reliability,external_quality_score,stability_score,final_priority_score,validation_status
220,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Asok,26498353,18577420.0,326.0,1140.0,56985.9509202454,0.0061349693251533,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel Asok Bangkok,5.0,5.0,39130204.0,4293161.0,324969.0,61.0,3,0.0,0.0,0.0,0,0,0,6309308.04,15.657536726144393,100.0,16.73745747654879,5.7899601708972535,64.63008294591181,1.791759469228055,100.0,82.3150414729559,94.69451244188677,Viral Hit
222,Rain Tree Cafe at The Athenee Hotel,เรน ทรี คาเฟ่ ดิ แอทธินี โฮเทล แบงค็อก,Ploenchit,02-650-8800,536063802.0,10418.0,48243.0,51455.53868304857,0.0075830293722403,Rain Tree Cafe at The Athenee Hotel Ploenchit Bangkok,5.0,4.8,6960298.0,456783.0,71284.0,42.0,4,0.0,0.0,6.0,0,0,0,882806.58,13.690862539644122,87.43944069301534,20.09976374739868,9.251386341412184,80.92567331616532,1.791759469228055,96.0,88.46283665808267,87.74645948253553,Cash Cow
168,Attico Cucina Italiana Radisson Blu Plaza Bangkok,แอทติโก้ โรงแรม เรดิสัน บลู พลาซ่า กรุงเทพฯ,Asok,23023329,8298300.0,313.0,797.0,26512.14057507988,0.0127795527156549,Attico Cucina Italiana Radisson Blu Plaza Bangkok Asok Bangkok,5.0,4.4,2998350.0,105695.0,26204.0,42.0,2,4.4,0.0,0.0,0,0,0,266698.5,12.493877835402694,79.79465770334656,15.931561353017988,5.749392985908253,61.86151275155453,1.791759469228055,88.00000000000001,74.93075637577726,78.33548730507577,Viral Hit
712,Vertigo TOO Banyan Tree,เวอร์ทิโก้ทู โรงแรมบันยันทรี,Sathon,26791200,1420502335.0,45559.0,105709.0,31179.40110625782,0.002919291468206,Vertigo TOO Banyan Tree Sathon Bangkok,0.0,0.0,18456387.0,718461.0,85625.0,80.0,24,0.0,0.0,0.0,0,0,0,1331149.87,14.101554441817537,90.0624069319363,21.07427640374854,10.726785417561118,86.32918239221272,0.0,0.0,43.16459119610636,75.99306221118731,Cash Cow
701,Le Boeuf,เลอเบิฟ,Bangkok,948969038,10160790.0,433.0,1100.0,23466.027713625863,0.0300230946882217,Le Boeuf Bangkok Bangkok,0.0,0.0,19126901.0,1069383.0,162084.0,40.0,23,0.0,0.0,0.0,0,0,0,2071072.01,14.543577393257056,92.88547520359772,16.134046851414826,6.073044534100405,63.00889304809396,0.0,0.0,31.50444652404698,74.47116659973248,Viral Hit
5839,"Le Petit Chef at Sheraton Grande Sukhumvit, a Luxury Collection Hotel , Bangkok",เลอ เปอติต์ เชฟ เชอราตัน กรุงเทพ,Asok,26498353,23895260.0,379.0,1034.0,63048.17941952507,0.0,"Le Petit Chef at Sheraton Grande Sukhumvit, a Luxury Collection Hotel , Bangkok Asok Bangkok",0.0,0.0,15639042.0,901942.0,149197.0,20.0,2712,0.0,0.0,0.0,0,0,0,1804317.42,14.405693471789576,92.00485187261586,16.989190712721935,5.940171252720432,65.69310999896568,0.0,0.0,32.84655499948284,74.25736281067594,Viral Hit
1990,Le Mecier Bangkok,เลอ เมอเซีย,Nonthaburi,619287897,16863160.0,749.0,1825.0,22514.232309746327,0.0173564753004005,Le Mecier Bangkok Nonthaburi Bangkok,0.0,0.0,15639042.0,901942.0,149197.0,20.0,255,0.0,0.0,0.0,0,0,0,1804317.42,14.405693471789576,92.00485187261586,16.64064197813684,6.620073206530356,65.50088242148783,0.0,0.0,32.750441210743915,74.22852867405427,Viral Hit
280,Vertigo Rooftop Banyan Tree,เวอร์ทิโก้ รูฟท็อป โรงแรมบันยันทรี,Sathon,26791200,1349417435.0,19537.0,44873.0,69069.8385115422,0.0066028561191585,Vertigo Rooftop Banyan Tree Sathon Bangkok,0.0,0.0,8175136.0,396785.0,75601.0,80.0,8,0.0,0.0,0.0,0,0,0,856541.36,13.66065905261617,87.24654006275514,21.022938807372476,9.880116566212887,84.93630641729565,0.0,0.0,42.46815320864783,73.81302400652294,Cash Cow
4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Ratchaprasong,922811818,29858709900.0,492026.0,1565221.0,60685.22781316435,2.642136797648905e-05,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub) Ratchaprasong Bangkok,0.0,0.0,4745965.0,146747.0,60676.0,41.0,1585,0.0,0.0,0.0,0,0,0,497586.65,13.117527000967275,83.77771823497689,24.11974242320112,13.106288872017481,100.0,0.0,0.0,50.0,73.64440276448381,Cash Cow
4686,Le Salon Café Bangkok,เลอ ซาลอน คาเฟ่ กรุงเทพฯ,Ploenchit,997468899,5960088.0,470.0,961.0,12681.03829787234,0.002127659574468,Le Salon Café Bangkok Ploenchit Bangkok,0.0,0.0,15639042.0,901942.0,149197.0,20.0,1744,0.0,0.0,0.0,0,0,0,1804317.42,14.405693471789576,92.00485187261586,15.600595971815943,6.154858094016418,61.33289156274002,0.0,0.0,30.66644578137001,73.6033300452421,Viral Hit
