restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,phone_number,total_revenue,total_bookings,total_guests,avg_revenue_per_booking,no_show_rate
3184,Kiew Kai Ka Nak Niwat (Bangkok),เขียวไข่กา นาคนิวาส (กรุงเทพฯ),Chokchai 4,22270685,27576276.0,930.0,4173.0,29651.909677419357,0.0064516129032258
3187,Jinjjayo 진짜요,ชินจาโย 진짜요,Suvarnabhumi,909974261,47040.0,4.0,13.0,11760.0,0.0
3188,,Take Japanese Restaurant (Phuket),Bangkok,887613771,895560.0,19.0,69.0,47134.73684210526,0.0
3189,,นอตี้ นูรี้ส์ ป่าตอง (ภูเก็ต),Bangkok,61173001,44500.0,5.0,10.0,8900.0,0.0
3190,,คอรัลทรี วิลลา สเตเคชั่น (หัวหิน),Bangkok,32527790,4308000.0,71.0,130.0,60676.05633802817,0.0
3191,,หลิวเซียงฟง สเปลล์ฟิวเจอร์ปาร์ค รังสิต,Bangkok,21509008,8880408.0,294.0,816.0,30205.469387755104,0.0238095238095238
3192,,หลิวเซียงฟง เดอะพรอมานาด,Bangkok,21085058,42203040.0,1077.0,3880.0,39185.738161559886,0.0129990714948932
3193,,อีแรดบุฟเฟต์ทะเลเผา&หมึกซาชิมิ,Bangkok,863857819,77760.0,1.0,11.0,77760.0,0.0
3194,The Beach Phuket,The Beach Phuket,Bangkok,626683818,5389440.0,333.0,906.0,16184.504504504504,0.027027027027027
3195,Vinifera Wine Bar & Restaurant,วินิเฟร่า ไวน์ บาร์ & เรสเตอรองท์,Ladprao,873282090,4953552.0,173.0,472.0,28633.24855491329,0.0057803468208092
3198,Ginprik,กินพริก,Bangkok,989786555,4450560.0,304.0,972.0,14640.0,0.0
3199,,ค็อปเปอร์ จิมนี่,Bangkok,815949333,83520.0,4.0,15.0,20880.0,0.0
3200,Chow Barn Restaurant The Peri Hotel (Khao Yai),ร้านอาหารชาวบ้าน เดอะ เภรี โฮเต็ล (เขาใหญ่),Bangkok,631964999,1272000.0,58.0,159.0,21931.03448275862,0.0
3201,Chef Thanom Seacon Square Srinagarindra,เชฟถนอม ซีคอนสแควร์ ศรีนครินทร์,Bangkok,947825550,1567200.0,94.0,234.0,16672.340425531915,0.0106382978723404
