restaurant_id,raw_average_sentiment,sentiment_variance,nlp_review_count,sentiment_score
33,0.6907933333333334,0.12312706822988509,30,84.53966666666666
168,0.8205,0.03157934526315791,20,91.025
222,0.6784749999999999,0.11589577881578945,20,83.92375
423,0.688165,0.14300039292105263,20,84.40825000000001
425,0.6981066666666667,0.14551675581609197,30,84.90533333333333
426,0.575345,0.29477854365789474,20,78.76725
447,0.6312366666666667,0.14845856929885057,30,81.56183333333334
554,0.3393366666666667,0.2619995948160919,30,66.96683333333333
565,0.7168266666666666,0.09438266685057468,30,85.84133333333332
598,0.6330733333333334,0.09681377098850572,30,81.65366666666667
643,0.6994566666666666,0.12972714874712643,30,84.97283333333333
668,0.67309,0.1165416478275862,30,83.6545
680,0.52724,0.16810356799999995,30,76.362
694,0.41283,0.22098285803448275,30,70.64150000000001
742,0.672945,0.06354082786842107,20,83.64725
745,0.46499500000000005,0.23306357628947363,20,73.24975
753,0.6164333333333333,0.13252237402298847,30,80.82166666666666
763,0.664245,0.17519043523684208,20,83.21225
783,0.72119,0.11523776162068967,30,86.0595
835,0.67245,0.12727950465517238,30,83.6225
837,0.5992633333333333,0.15560243688505743,30,79.96316666666667
843,0.5804666666666667,0.17432323747126438,30,79.02333333333334
863,0.5829966666666666,0.20568029688505748,30,79.14983333333333
875,0.5040733333333333,0.1664676365057471,30,75.20366666666666
915,0.3323533333333334,0.305889323954023,30,66.61766666666666
923,0.6064366666666667,0.12986133343678166,30,80.32183333333333
933,0.5992633333333333,0.15560243688505743,30,79.96316666666667
955,0.6483933333333333,0.10006097029885058,30,82.41966666666667
979,0.6249100000000001,0.21750916410526314,20,81.2455
982,0.4261827586206896,0.12790268147783254,29,71.30913793103448
997,0.7158066666666667,0.0596951296091954,30,85.79033333333334
1000,0.23268999999999998,0.24491377196551728,30,61.6345
1003,0.6323833333333333,0.15662483316091957,30,81.61916666666667
1007,0.46065172413793104,0.25328792615763546,29,73.03258620689655
1039,0.8604533333333334,0.00929086050574713,30,93.02266666666668
1056,0.7685033333333333,0.07815906171264367,30,88.42516666666667
1063,0.6183333333333334,0.07678620781609197,30,80.91666666666667
1065,0.5955,0.13727413052631582,20,79.77499999999999
1075,0.44919666666666663,0.28688703343678157,30,72.45983333333334
1153,0.60761,0.1953652492068966,30,80.3805
1157,0.7328592592592592,0.058731431737891734,27,86.64296296296297
1159,0.8238766666666667,0.03978486185057472,30,91.19383333333333
1167,0.580305,0.12283035418421051,20,79.01525000000001
1168,0.30006,0.27536058673684216,20,65.003
1170,0.5780533333333333,0.1132804108505747,30,78.90266666666666
1181,0.6838,0.1648293496551724,30,84.19
1184,0.44776,0.15357985489655174,30,72.38799999999999
1198,0.663775,0.1240061682894737,20,83.18875
1220,0.70983,0.07236004562068966,30,85.4915
1235,0.62236,0.05593546455172412,30,81.118
1236,0.4407466666666667,0.1532660956781609,30,72.03733333333334
1239,0.5527866666666666,0.1992663384367816,30,77.63933333333333
1242,0.6568533333333334,0.11746823981609192,30,82.84266666666666
1243,0.47868,0.23196919820689657,30,73.934
1244,0.38617666666666667,0.24715785909195398,30,69.30883333333333
1245,0.31185666666666667,0.23415556254022987,30,65.59283333333333
1246,0.4836263157894737,0.18161317315789474,19,74.18131578947369
1259,0.5457137931034483,0.18010377337438424,29,77.28568965517242
1296,0.71919,0.10034077042105265,20,85.9595
1318,0.7000333333333334,0.06380618298850575,30,85.00166666666667
1337,0.6013566666666667,0.11228059357471264,30,80.06783333333334
1350,0.66582,0.08319380165517241,30,83.291
1353,0.7088333333333333,0.0836028836781609,30,85.44166666666666
1361,0.26816999999999996,0.34032050424137944,30,63.408500000000004
1364,0.42472,0.20661859889655176,30,71.236
1365,0.4753266666666667,0.25594213788505743,30,73.76633333333334
1383,0.431865,0.18209626555263156,20,71.59325
1384,0.30691,0.32855600989655176,30,65.3455
1410,0.59399,0.062294014724137925,30,79.6995
1420,0.26816999999999996,0.34032050424137944,30,63.408500000000004
1422,0.68196,0.0943586128275862,30,84.09800000000001
1433,0.74236,0.14429146386206895,30,87.11800000000001
1448,0.58337,0.18428999458620687,30,79.1685
1457,0.81219,0.07794085252631579,20,90.6095
1483,0.58091,0.12047605042105265,20,79.0455
1538,0.51264,0.30659977006896544,30,75.632
1546,0.48844,0.3233173514482759,30,74.422
1560,0.7061433333333333,0.1361661501264368,30,85.30716666666666
1572,0.8039766666666667,0.05728488322988505,30,90.19883333333334
1579,0.83511,0.033614738172413804,30,91.7555
1582,0.7946533333333333,0.06502404671264367,30,89.73266666666666
1604,0.7004947368421053,0.10325920941520467,19,85.02473684210527
2029,0.18767999999999999,0.27789428648275866,30,59.384
2032,0.758245,0.10356791313157894,20,87.91225
2041,0.469865,0.1868104560789474,20,73.49325
2042,0.7169966666666667,0.09213424240229887,30,85.84983333333334
