restaurant_id,target_label,ML_Predicted_Segment,prob_declining,prob_stable,prob_rising,prob_hidden_gem,ml_priority_score,expected_kpi,residual_kpi,momentum_score,external_quality_score,booking_conversion_rate,web_views,gmaps_rating,gmaps_reviews,weighted_rating_score,region_encoded,cuisine_encoded,priority_rank
5211.0,Rising,Rising,0.0098352963051827,0.0145777767351222,0.9755832954670384,3.6314926566218098e-06,58.53514298772856,54.019198408565,-0.141923441139312,72.40894802199551,0.0,1.021505376344086,93.0,0.0,0.0,4.770210448652636,6,1,1
5376.0,Rising,Rising,0.0209349742691565,0.071740283413599,0.907283308704453,4.1433612791655406e-05,54.43865586677884,53.82215246365916,-0.293568811312916,72.67554818431964,0.0,3.90625,32.0,0.0,0.0,4.827657836489477,6,4,2
5462.0,Rising,Rising,0.0180974541667242,0.0797358215189777,0.9021559291247708,1.0795189527045604e-05,54.12978755506733,57.11029029295306,-0.4993057956103257,62.27467310666746,0.0,7.923076923076923,13.0,0.0,0.0,,6,4,3
6331.0,Rising,Rising,0.0514766712978299,0.0561666575897077,0.8923525711379315,4.099974530576694e-06,53.54131826725712,55.99801467193591,-0.0807665923190583,0.0,0.0,0.1481481481481481,108.0,0.0,0.0,4.577657836489477,2,2,4
5650.0,Rising,Rising,0.0651608374066936,0.0432891832086818,0.8915423749442594,7.604440365072883e-06,53.49284667427017,50.1757827094761,0.2764892468665181,63.43851351614251,0.0,4.294117647058823,17.0,0.0,0.0,4.702657836489477,6,1,5
5751.0,Rising,Rising,0.0270473723018642,0.1005644606375367,0.8723807353914226,7.431669176406537e-06,52.34314139025241,57.23827296366352,0.4452101403965756,0.0,0.0,4.823529411764706,34.0,0.0,0.0,4.735695854657314,5,4,6
6547.0,Rising,Rising,0.0024897519497091,0.1267757760359916,0.8707288732413175,5.598772981736112e-06,52.24395634539831,52.94217304636231,-0.144650530738275,0.0,0.0,0.2631578947368421,38.0,0.0,0.0,,5,1,7
5092.0,Rising,Rising,0.0575738474494701,0.0761133993816359,0.8663038312976787,8.921871215161282e-06,51.97858675270933,57.6331395482479,-0.0652268721809647,0.0,0.0,0.7818181818181819,55.0,0.0,0.0,4.770210448652636,4,4,8
6576.0,Rising,Rising,0.0148795803737453,0.1257673131096428,0.8593480456547038,5.060861908041874e-06,51.56108517375855,54.85081554422775,-0.1185946961815531,0.0,0.0,0.1616161616161616,99.0,0.0,0.0,4.770210448652636,6,1,9
6151.0,Rising,Rising,0.0169306722268186,0.1273692816901226,0.8556885001153929,1.1545967666090503e-05,51.34177184563021,53.83850609289389,-0.1296569971958021,53.6777105596104,0.0,5.083333333333333,12.0,0.0,0.0,4.770210448652636,6,4,10
5362.0,Rising,Rising,0.1055629299713001,0.044306052841933,0.8501117284981287,1.9288688638170595e-05,51.00747525743324,55.80961304561749,-0.0916978603598863,45.86566251133477,0.0,4.277777777777778,18.0,0.0,0.0,4.803037527416546,6,2,11
6320.0,Rising,Rising,0.0463055788415364,0.1050862941840206,0.8486022932388246,5.833735618206587e-06,50.91637094375421,58.03296155683172,-0.0273862276688987,0.0,0.0,0.25,72.0,0.0,0.0,4.803037527416546,2,0,12
6204.0,Rising,Rising,0.0179122243350859,0.1348346133644801,0.8472450772789316,8.085021502264312e-06,50.83502803759599,58.56437683678983,-0.0220242268217916,0.0,0.0,1.625,16.0,0.0,0.0,,0,4,13
6278.0,Rising,Rising,0.0545752637233681,0.1015978139089893,0.8438171511318522,9.771235790188766e-06,50.62941991734273,52.50170962626449,0.0283036996020484,0.0,0.0,1.5,16.0,0.0,0.0,4.702657836489477,2,0,14
6299.0,Rising,Rising,0.0098436875320994,0.1470268381214262,0.8431205770419677,8.897304506738578e-06,50.587590514698334,50.37722505455091,-0.0003984040747653,0.0,0.0,0.5625,16.0,0.0,0.0,,9,1,15
4265.0,Rising,Rising,0.0292644222033222,0.1375010256522583,0.8332224404063969,1.2111738022679124e-05,49.99383089390472,58.67248294122661,-0.1070253372027139,0.0,0.0,1.2894736842105263,38.0,0.0,0.0,4.770210448652636,9,1,16
