restaurant_id,restaurant_name_en,gmaps_rating,gmaps_reviews,tiktok_views,tiktok_likes,tiktok_shares,facebook_likes,wongnai_rating,wongnai_reviews
898.0,Shabu De Bear I'm Park Chula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901.0,Brasserie 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902.0,The Berkeley Dining Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911.0,Kisso at The Westin Grande Sukhumvit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
915.0,Neta Grill Seacon Square Srinagarindra,4.4,883.0,0.0,0.0,0.0,0.0,0.0,0.0
923.0,Boon Tong Kee The Up Rama 3,4.6,2130.0,0.0,0.0,0.0,0.0,0.0,0.0
924.0,TORA Yakiniku x Café The City Connect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
928.0,The Mulberry Chinese Cuisine The Berkeley Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
945.0,Crave (Aloft Bangkok - Sukhumvit 11),4.4,3409.0,0.0,0.0,0.0,0.0,0.0,0.0
949.0,Amaya Food Gallery Amari Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
955.0,Krua Nai Noi Seafood,4.4,149.0,0.0,0.0,0.0,0.0,0.0,0.0
979.0,Hi So Rooftop Bar So/ Bangkok,4.3,450.0,0.0,0.0,0.0,0.0,0.0,0.0
982.0,Prince Cafe at Prince Palace Hotel Bangkok,4.1,104.0,0.0,0.0,0.0,0.0,0.0,0.0
984.0,China Palace at Prince Palace Hotel Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
997.0,Cafe Claire by Oriental Residence,4.4,428.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,Neta Grill Central Rama 2,4.3,1768.0,0.0,0.0,0.0,0.0,0.0,0.0
1003.0,Greenhouse Restaurant Avani Sukhumvit Bangkok,4.2,183.0,0.0,0.0,0.0,0.0,0.0,0.0
1006.0,Ruen Petch Suki Central Bangna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007.0,Ruen Petch Suki Nonthaburi Bypass Road,4.5,913.0,0.0,0.0,0.0,0.0,0.0,0.0
1008.0,Talay Ari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1016.0,Latest Recipe & Tempo Bar mezzanine floor at Le Meridien Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1023.0,The Emperor Montien Riverside Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039.0,KBBQ Sukhumvit,4.7,1615.0,0.0,0.0,0.0,0.0,0.0,0.0
1056.0,Flamenco Sky Bar Lounge Emquartier,4.6,677.0,0.0,0.0,0.0,0.0,0.0,0.0
1058.0,Shabu Street UdomSuk Soi 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1063.0,Boon Tong Kee Central Eastville,4.6,915.0,0.0,0.0,0.0,0.0,0.0,0.0
1065.0,Brewski Rooftop Sports Bar Radisson Blu Plaza Bangkok (Indoor),4.3,1689.0,0.0,0.0,0.0,0.0,0.0,0.0
1069.0,27 Bites Brasserie at Radisson Blu Plaza Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075.0,Jaw Nuea Chokchai 4,4.2,480.0,0.0,0.0,0.0,0.0,0.0,0.0
1142.0,1826 Mixology & Rooftop Bar Rembrandt Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1146.0,Yao Rooftop Bar Bangkok Marriott Hotel The Surawongse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1153.0,The Kitchen Table (Buffet) at W Bangkok Hotel,4.5,393.0,0.0,0.0,0.0,0.0,0.0,0.0
1157.0,Assembly Point Thonglor @ One One Hotel Bkk,4.7,42.0,0.0,0.0,0.0,0.0,0.0,0.0
1159.0,Blue Sky Rooftop Bar Centara Grand at Central Plaza Ladprao,4.8,1266.0,0.0,0.0,0.0,0.0,0.0,0.0
1167.0,Kouen Premium Buffet I'm Park Chula,4.4,807.0,0.0,0.0,0.0,0.0,0.0,0.0
1168.0,Kouen Premium Buffet Sena Fest,4.1,442.0,0.0,0.0,0.0,0.0,0.0,0.0
1170.0,Kouen Premium Buffet The Bright Rama 2,4.3,216.0,0.0,0.0,0.0,0.0,0.0,0.0
1171.0,Kouen Premium Buffet The Walk Kaset Nawamin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1178.0,Mexicano Restaurante Autentico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1181.0,Saffron Cruise by Banyan Tree,4.8,349.0,0.0,0.0,0.0,0.0,0.0,0.0
1184.0,Earw Thai Suki Boran The Crystal SB Ratchapruek,3.9,146.0,0.0,0.0,0.0,0.0,0.0,0.0
1189.0,Sauce by Chef Wong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1192.0,Man Ho Chinese Restaurant at JW Marriott Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1198.0,Red Sky Rooftop & Bar 56th Floor,4.5,4297.0,0.0,0.0,0.0,0.0,0.0,0.0
1220.0,Baan Lae Gaysorn,4.5,293.0,0.0,0.0,0.0,0.0,0.0,0.0
1235.0,You&I Premium Suki Buffet Mega Bangna,4.5,1018.0,0.0,0.0,0.0,0.0,0.0,0.0
1236.0,You&I Premium Suki Buffet Central Westgate,4.7,877.0,0.0,0.0,0.0,0.0,0.0,0.0
1238.0,You&I Premium Suki Buffet Central Eastville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239.0,You&I Premium Suki Buffet Zpell Future Park Rangsit,4.7,634.0,0.0,0.0,0.0,0.0,0.0,0.0
