restaurant_id,days_in_advance,weighted_rating_score,kol_views,kol_likes,kol_comments,unique_kols_used,web_views,web_revenue,kol_engagement_rate,gmaps_rating,gmaps_reviews,raw_average_sentiment,sentiment_variance,nlp_review_count,sentiment_score,momentum_score,sentiment_rating_scale,composite_external_rating,reliability_factor,external_quality_score,stability_score,final_priority_score,validation_status,region_encoded,cuisine_encoded,revenue_per_guest,revenue_per_view,booking_conversion_rate,target_label,expected_kpi,residual_kpi
5149.0,240.0,4.5447626507017205,2955745.0,74449.0,542.0,13.0,10176.0,0.0,0.0253712684957599,0.0,0.0,,0.0,,0.0,99.21485501116014,0.0,0.0,0.0,0.0,48.96981584075116,84.14134326003744,Cash Cow,1,2,19155.78067515355,122289.40448113208,2.5717374213836477,Declining,95.83052970159726,2.1091019799050628
5900.0,90.0,4.664276983785043,1969418.0,86225.0,801.0,2.0,11273.0,0.0,0.0441886892472801,0.0,0.0,,0.0,,0.0,98.909979548938,0.0,0.0,0.0,0.0,41.73960536841149,81.75886729478005,Cash Cow,1,1,9281.226277372263,7106.028918655194,0.22895413820633373,Stable,85.48795697827921,-2.0087462414562367
3005.0,240.0,4.670372369092348,883000.0,3943.0,127.0,5.0,7437.0,0.0,0.0046092865232163,4.4,1723.0,0.5346366666666668,0.2348426279195402,30.0,76.73183333333333,80.60199733688911,3.836591666666666,4.174636666666666,7.452402451223638,67.01845460237418,83.50922730118708,81.47416632617849,Cash Cow,1,1,11393.516071924007,231917.87683205595,5.688584106494554,Declining,92.70597567294222,7.294024327057784
3021.0,,,931230.0,20661.0,146.0,1.0,0.0,0.0,0.0223435671101661,4.3,266.0,0.4528033333333333,0.2992766224022988,30.0,72.64016666666666,89.35099331030538,3.632008333333333,4.032803333333333,5.58724865840025,48.538289663799134,60.723142606448654,80.76263809914836,Viral Hit,0,0,9460.03663003663,0.0,0.0,Declining,78.1592311709817,-5.251235621883524
712.0,240.0,4.787474402664131,801887.0,30358.0,144.0,2.0,420.0,0.0,0.038037778390222,0.0,0.0,,0.0,,0.0,90.96722658329914,0.0,0.0,0.0,0.0,49.68575329282815,78.58278459615784,Cash Cow,3,0,13437.88353656806,3382091.3214285714,108.47142857142858,Stable,95.04537234172969,4.326134243926617
982.0,60.0,4.601536546471638,100063.0,4716.0,41.0,0.0,126.0,0.0,0.0475400497686457,4.1,104.0,0.4261827586206896,0.1279026814778325,29.0,71.30913793103448,75.57863440353182,3.565456896551724,3.886182758620689,4.653960350157523,38.96057209483936,61.60460523524435,71.38642565304558,Cash Cow,9,1,4674.32531930879,592526.380952381,38.3968253968254,Declining,86.92119684683756,-2.672558471188225
3862.0,240.0,4.760902811354274,399110.0,6763.0,215.0,16.0,7666.0,0.0,0.0174839016812407,0.0,0.0,,0.0,,0.0,81.31353814090343,0.0,0.0,0.0,0.0,45.95162873564026,70.70496531932449,Cash Cow,4,1,11525.410348343805,45706.235324810856,1.7269762588051134,Stable,91.85712820964784,0.046129261632685825
4751.0,240.0,4.638992476448122,202965.0,5172.0,82.0,4.0,1598.0,0.0,0.0258862365432463,0.0,0.0,,0.0,,0.0,78.00143340042436,0.0,0.0,0.0,0.0,43.7274021494277,67.71922402512536,Cash Cow,0,1,11868.620960262539,104106.67083854819,3.2246558197747186,Stable,86.99747488305093,0.4573294158044803
2482.0,90.0,4.837992134172172,65875.0,1660.0,245.0,3.0,604.0,0.0,0.0289184060721062,4.8,60.0,0.6957566666666667,0.0872470639195402,30.0,84.78783333333332,69.63047225735941,4.239391666666666,4.575756666666667,4.110873864173311,40.52065885495888,62.37761209416057,67.45461420839976,Cash Cow,0,1,11540.347175857925,143088.84105960265,5.644039735099338,Declining,85.51630384710225,-1.281738513739981
1594.0,90.0,4.54640170107322,24200.0,460.0,12.0,1.0,3270.0,0.0,0.0195041322314049,4.5,4865.0,,0.0,,0.0,59.59019768857415,0.0,4.5,8.490027523343468,82.30022788134711,84.84650049884883,67.16708853165655,Cash Cow,1,1,9123.098162843788,51329.28440366973,1.4868501529051987,Declining,87.47429546479067,-0.08152234844014572
2483.0,120.0,4.436266210915586,64502.0,1144.0,23.0,2.0,1957.0,0.0,0.0180924622492325,4.2,304.0,0.5012866666666667,0.2040123260229885,30.0,75.06433333333334,66.99058648159154,3.753216666666667,4.021286666666667,5.720311776607412,49.55233905934119,66.32535164886222,66.79101603177274,Cash Cow,3,4,8132.803358088473,38611.0761369443,1.2013285641287685,Declining,87.27793158832785,-4.179567349944591
915.0,90.0,4.318113795909531,33574.0,1114.0,32.0,2.0,185.0,0.0,0.0341335557276463,4.4,883.0,0.3323533333333334,0.305889323954023,30.0,66.61766666666666,65.14195920265041,3.3308833333333334,3.972353333333333,6.784457062637643,58.055369733406906,68.71288354247518,66.21323650459783,Viral Hit,5,2,10287.865973741795,203310.47567567567,6.837837837837838,Declining,83.48504315878496,-4.1146458072415015
2382.0,90.0,4.586250976301217,148719.0,5367.0,10.0,2.0,15.0,0.0,0.0361554340736556,0.0,0.0,,0.0,,0.0,77.2886147988934,0.0,0.0,0.0,0.0,40.25551802100651,66.17868576552733,Cash Cow,0,1,22263.74223245109,3869438.4,60.93333333333333,Stable,80.34151601463839,0.1695200273746309
740.0,,,435246.0,2580.0,56.0,1.0,0.0,0.0,0.0060563451473419,0.0,0.0,,0.0,,0.0,76.41206981507364,0.0,0.0,0.0,0.0,41.00020986657586,65.7885118305243,Cash Cow,0,0,7579.986577181208,0.0,0.0,Declining,83.32287503213038,-1.3224552989786673
2925.0,70.0,4.841883421673543,3091.0,1476.0,11.0,1.0,9457.0,0.0,0.4810740860562925,4.7,628.0,0.8093533333333334,0.0173391287816091,30.0,90.46766666666667,60.112100749299216,4.523383333333333,4.629353333333333,6.444131256700441,64.26346418300001,78.27642822134278,65.56139899091228,Cash Cow,1,1,11571.393540412726,45536.7433647034,1.091889605583166,Declining,85.81967164831708,6.469720611368473
2853.0,45.0,4.70438815304079,18308.0,810.0,20.0,0.0,1436.0,0.0,0.0453353725147476,4.4,403.0,0.6901700000000001,0.1591085980344827,30.0,84.50850000000001,61.81392141936573,4.225425,4.330170000000001,6.001414877961151,55.98066113832132,73.89818731905297,65.4392011892719,Cash Cow,6,1,17334.51442484381,262769.9930362117,7.3565459610027855,Stable,91.79720368289571,0.018509816888908404
447.0,90.0,4.560193297199235,21710.0,1585.0,6.0,0.0,737.0,0.0,0.073284200829111,4.4,358.0,0.6312366666666667,0.1484585692988505,30.0,81.56183333333334,65.70096010420387,4.078091666666667,4.271236666666667,5.883322388488279,54.13220389498431,64.61319490681844,65.37463054498824,Viral Hit,1,1,13282.367256637168,24438.113975576664,0.7259158751696065,Declining,80.05779171642263,-4.963605797770072
5465.0,90.0,4.609219278829825,193995.0,5183.0,562.0,17.0,1985.0,0.0,0.029614165313539,0.0,0.0,,0.0,,0.0,78.3512844330626,0.0,0.0,0.0,0.0,35.01100160257732,65.34919958391701,Viral Hit,6,0,1011.5329473393989,1848.2770780856424,0.5193954659949622,Declining,69.4305512691655,0.5914519359891273
1433.0,90.0,4.793557412008453,10438.0,581.0,43.0,4.0,1446.0,0.0,0.059781567350067,4.6,1197.0,0.74236,0.1442914638620689,30.0,87.11800000000001,58.80275122506562,4.3559,4.50236,7.088408778675395,68.74931858205707,80.47426899813163,65.30420655698542,Cash Cow,6,1,12097.388928486576,281703.5131396957,7.700553250345782,Declining,91.11838116380608,1.0808382504001202
2554.0,90.0,4.56814586355218,29543.0,619.0,33.0,1.0,672.0,0.0,0.0220695257759875,4.0,659.0,0.5964,0.1739703978947368,20.0,79.82000000000001,61.82691512997876,3.991000000000001,3.9964,6.492239835020471,55.89113526990425,73.12067796928064,65.21504398176931,Cash Cow,5,1,12872.274875178317,429688.79464285716,12.132440476190476,Declining,89.65849830299372,0.6917223656632956
4889.0,90.0,4.540782223628491,176276.0,2210.0,72.0,6.0,3158.0,0.0,0.0129456080237808,0.0,0.0,,0.0,,0.0,73.22505926753277,0.0,0.0,0.0,0.0,46.3339938619532,65.1577396458589,Cash Cow,3,7,18898.925526932086,153321.87207093096,3.125079164027866,Declining,93.84565556333293,-1.177667839426519
4509.0,90.0,4.810801607485021,109306.0,4906.0,23.0,0.0,24.0,0.0,0.0450935904707884,0.0,0.0,,0.0,,0.0,76.00315929953592,0.0,0.0,0.0,0.0,39.73447201738571,65.12255311489086,Viral Hit,4,1,10456.762237762237,1495317.0,62.416666666666664,Stable,79.66795478646233,-0.19901075169090632
4797.0,90.0,4.824850507676633,194188.0,4871.0,85.0,1.0,12.0,0.0,0.0255216594228273,0.0,0.0,,0.0,,0.0,77.57478969752327,0.0,0.0,0.0,0.0,35.412841988420325,64.92620538479238,Viral Hit,6,1,3629.399301513388,519609.0,40.416666666666664,Stable,71.10714362833689,-0.28145965149623464
280.0,240.0,4.721652312112765,85142.0,1894.0,78.0,4.0,2388.0,0.0,0.0231613069930234,0.0,0.0,,0.0,,0.0,70.50150259951018,0.0,0.0,0.0,0.0,48.88414984191039,64.01629677223023,Cash Cow,3,3,30071.923762618946,565082.6779731993,8.181323283082078,Stable,98.2408036735384,-0.47250398971759466
1157.0,90.0,4.759065225179128,58023.0,1210.0,53.0,3.0,115.0,0.0,0.0217672302362856,4.7,42.0,0.7328592592592592,0.0587314317378917,27.0,86.64296296296297,67.12307762264474,4.332148148148148,4.552859259259259,3.7612001156935615,36.88842322371177,56.68481356111894,63.991598404187,Viral Hit,2,1,9264.308329879817,194389.35652173913,6.48695652173913,Declining,79.39871730373062,-2.9175134052045024
425.0,90.0,4.67988071265887,28608.0,455.0,22.0,1.0,1609.0,0.0,0.0166736577181208,4.1,605.0,0.6981066666666667,0.1455167558160919,30.0,84.90533333333333,60.094891576597966,4.245266666666667,4.158106666666667,6.406879986069314,57.388072806101405,73.04040802169074,63.9785465101258,Cash Cow,2,1,4875.027455518588,104726.73958980733,6.556246115599752,Stable,85.92911293701776,2.7636303002623066
4918.0,90.0,4.779600646308411,68902.0,2719.0,35.0,0.0,2223.0,0.0,0.0399698121970334,0.0,0.0,,0.0,,0.0,71.69452393444053,0.0,0.0,0.0,0.0,44.8590114180102,63.643870179511424,Cash Cow,2,3,8891.174789587003,102170.51731893838,4.386864597390913,Stable,90.13292860850643,-0.414905772486037
1181.0,60.0,4.805916787542055,21205.0,296.0,117.0,4.0,853.0,0.0,0.0194765385522282,4.8,349.0,0.6838,0.1648293496551724,30.0,84.19,58.532710975383736,4.2095,4.5638000000000005,5.857933154483459,57.590445939179446,75.43761123380179,63.60418105290915,Cash Cow,1,1,34361.232487309644,793571.2543962485,7.6776084407971865,Stable,91.38627503431631,1.8985014941078049
1198.0,90.0,4.586732438577787,28619.0,138.0,36.0,1.0,741.0,0.0,0.006079877004787,4.5,4297.0,0.663775,0.1240061682894737,20.0,83.18875,54.795270828692686,4.1594375,4.363775,8.365905077202456,78.64202869735117,83.78138227860026,63.49110426366495,Cash Cow,1,0,9069.676162649135,251343.8596491228,12.931174089068826,Declining,89.35403950126859,-0.4333036414192435
3030.0,60.0,4.712252264585481,21626.0,293.0,29.0,1.0,314.0,0.0,0.0148894848793119,4.8,601.0,0.595225,0.1949176367105263,20.0,79.76125,57.27611079354097,3.9880625,4.475225,6.400257445308821,61.700934879832936,77.00217476448499,63.19392998482418,Cash Cow,2,2,27303.444144783534,1837765.2611464967,16.751592356687897,Stable,91.28841395896998,1.0150006901670565
5940.0,90.0,4.639279334304455,69103.0,2647.0,52.0,2.0,1292.0,0.0,0.0390576385974559,0.0,0.0,,0.0,,0.0,71.59596621678153,0.0,0.0,0.0,0.0,42.58180827772574,62.89171883506479,Cash Cow,8,2,18294.643753735803,94758.32507739938,2.0495356037151704,Stable,84.71086803045048,0.4527485250009988
1856.0,90.0,4.841242525383832,56684.0,1731.0,104.0,3.0,842.0,0.0,0.0323724507797614,0.0,0.0,,0.0,,0.0,69.02967255934499,0.0,0.0,0.0,0.0,48.37685320600847,62.83382675334403,Cash Cow,1,3,18533.215986065414,1137305.5463182898,28.022565320665084,Stable,96.50251147878004,0.2511949332369028
1483.0,90.0,4.475221486374124,31080.0,376.0,18.0,3.0,3134.0,0.0,0.0126769626769626,4.4,684.0,0.58091,0.1204760504210526,20.0,79.0455,59.31127417044286,3.952275,4.22091,6.529418838262226,59.36904264052715,69.98549047401771,62.5135390615153,Cash Cow,3,0,11103.864324651726,17548.640714741545,0.3493937460114869,Declining,84.90769579041411,-4.3057574829058325
5594.0,90.0,4.520708756397195,200410.0,2403.0,282.0,10.0,2703.0,0.0,0.013397535053141,0.0,0.0,,0.0,,0.0,74.42709359243639,0.0,0.0,0.0,0.0,34.34724969665713,62.40314042370261,Viral Hit,6,2,558.9555499748869,823.440991490936,0.5501294857565667,Declining,68.31907997936015,0.3754194139541056
