restaurant_id,name,days_in_advance,primary_cuisine,secondary_cuisines,primary_dining_style,secondary_dining_styles,facilities,primary_place,places,hashtags,weighted_rating_score,total_revenue,total_bookings,total_guests,total_no_shows,total_temporary_bookings,avg_revenue_per_booking,no_show_rate,kol_views,kol_likes,kol_comments,unique_kols_used,web_views,web_revenue,restaurant_name_en,restaurant_name_th,extracted_location,kol_engagement_rate,gmaps_rating,gmaps_reviews,raw_average_sentiment,sentiment_variance,nlp_review_count,sentiment_score,momentum_score,internal_score,sentiment_rating_scale,composite_external_rating,reliability_factor,external_quality_score,stability_score,final_priority_score,validation_status
2483.0,Xin Tian Di Crowne Plaza Bangkok Lumpini Park,120.0,chinese,chinese,hotel restaurant,"family friendly, hotel buffet, casual dining, hotel restaurant, buffet","wheelchair access, have parking, indoor seating",btsroute:bts sala daeng,"mrtroute:mrt sam yan, popularzone:sam yan, btsroute:bts sala daeng, popularzone:silom","christmas & new year deal, top 20 restaurants in thailand, best dim sum buffets in bangkok, time to celebrate, hotel buffets, come more pay less, top sales hotel restaurants, good for big group, hottest promotion, amex",4.436266210915586,75561876.0,2351.0,9291.0,60.0,33.0,32140.313058273077,0.0255210548702679,64502.0,1144.0,23.0,2.0,1957.0,0.0,Xin Tian Di Crowne Plaza Bangkok Lumpini Park,ซิน เทียน ตี้ โรงแรมคราวน์ พลาซ่า กรุงเทพฯ ลุมพินี พาร์ค,Chinese,0.0180924622492325,4.2,304.0,0.5012866666666667,0.2040123260229885,30.0,75.06433333333334,66.99058648159154,83.09836423838325,3.753216666666667,4.021286666666667,5.720311776607412,49.552339059341186,66.32535164886222,66.79101603177274,Cash Cow
915.0,Neta Grill Seacon Square Srinagarindra,90.0,japanese,Unknown,grill/bbq,"chain restaurant, buffet, family friendly, grill/bbq, casual dining","have parking, wheelchair access, accommodates 50+ people, indoor seating",popularzone:srinakarin,"popularzone:srinakarin, popularzone:rangsit","come more pay less, time to celebrate, amex",4.318113795909531,37612438.0,1265.0,3656.0,32.0,30.0,29733.15256916996,0.025296442687747,33574.0,1114.0,32.0,2.0,185.0,0.0,Neta Grill Seacon Square Srinagarindra,เนตะ กริว ซีคอนสแควร์ ศรีนครินทร์,Vietnamese,0.0341335557276463,4.4,883.0,0.3323533333333334,0.305889323954023,30.0,66.61766666666666,65.14195920265041,79.37039735154346,3.3308833333333334,3.9723533333333334,6.784457062637643,58.055369733406906,68.71288354247518,66.21323650459783,Viral Hit
2382.0,Khao Wireless Road,90.0,thai,Unknown,fine dining,"family friendly, fine dining","private room up to 10 people, accommodates 50+ people, have parking",location:pathum wan,Unknown,"famous restaurants, amex",4.586250976301217,58041576.0,914.0,2607.0,7.0,31.0,63502.81838074399,0.0076586433260393,148719.0,5367.0,10.0,2.0,15.0,0.0,Khao Wireless Road,ข้าว ถนนวิทยุ,Thai,0.0361554340736556,0.0,0.0,,0.0,,0.0,77.2886147988934,80.51103604201302,0.0,0.0,0.0,0.0,40.25551802100651,66.17868576552733,Cash Cow
740.0,,,,,,,,,,,,56470900.0,2393.0,7450.0,41.0,29.0,23598.370246552444,0.0171333054743,435246.0,2580.0,56.0,1.0,0.0,0.0,Hongmin MBK Center,ฮองมิน เอ็มบีเคเซ็นเตอร์,European,0.0060563451473419,0.0,0.0,,0.0,,0.0,76.41206981507364,82.00041973315172,0.0,0.0,0.0,0.0,41.00020986657586,65.7885118305243,Cash Cow
2925.0,JW Café at JW Marriott Hotel Bangkok,70.0,international,"international, japanese, indian, chinese, european, italian, fusion, thai",hotel buffet,"hotel restaurant, casual dining, hotel buffet, family friendly, buffet","accommodates 50+ people, wheelchair access, have parking, indoor seating, accommodates 80+ people",awardtype:red table 2025,"popularzone:ploenchit, btsroute:bts phloen chit, btsroute:bts nana","come more pay less, luxury thai restaurants over 3000 baht, hottest promotion, must visit bkk 2025 for korean tourists, top sales hotel restaurants, must visit bkk 2025 for hongkong tourists, top 20 restaurants in thailand, buffet mania, celebration redtable awards 2025",4.841883421673543,430640982.0,10326.0,37216.0,202.0,164.0,41704.53050552005,0.0195622699980631,3091.0,1476.0,11.0,1.0,9457.0,0.0,JW Café at JW Marriott Hotel Bangkok,JW Café at JW Marriott Hotel Bangkok,International,0.4810740860562925,4.7,628.0,0.8093533333333334,0.0173391287816091,30.0,90.46766666666667,60.112100749299216,92.28939225968556,4.523383333333333,4.629353333333333,6.444131256700441,64.26346418300001,78.27642822134278,65.56139899091228,Cash Cow
2853.0,Above Riva at Riva Arun,45.0,thai,"thai, international",waterfront,"waterfront, rooftop, fine dining","have parking, outdoor seating, wheelchair access, scenic view, indoor seating",mrtroute:mrt sanam chai,mrtroute:mrt sanam chai,"must visit bkk 2025 for korean tourists, top 10 restaurant bkk (phl), celebrate love with us, top sales hotel restaurants",4.70438815304079,377337710.0,10564.0,21768.0,14.0,222.0,35719.20768648239,0.0013252555850056,18308.0,810.0,20.0,0.0,1436.0,0.0,Above Riva at Riva Arun,Above Riva at Riva Arun,International,0.0453353725147476,4.4,403.0,0.6901700000000001,0.1591085980344827,30.0,84.50850000000001,61.81392141936573,91.81571349978462,4.225425,4.330170000000001,6.0014148779611505,55.98066113832132,73.89818731905297,65.4392011892719,Cash Cow
447.0,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,90.0,international,"european, thai, japanese, international, fusion",rooftop,"rooftop, hotel restaurant, buffet, family friendly, hotel buffet","have parking, wheelchair access, scenic view, indoor seating",popularzone:ploenchit,"btsroute:bts phloen chit, popularzone:chidlom, popularzone:ploenchit","sunday brunch, free-flow promotion",4.560193297199235,18010890.0,535.0,1356.0,9.0,14.0,33665.214953271025,0.016822429906542,21710.0,1585.0,6.0,0.0,737.0,0.0,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,Japanese,0.073284200829111,4.4,358.0,0.6312366666666667,0.1484585692988505,30.0,81.56183333333334,65.70096010420387,75.09418591865256,4.078091666666667,4.271236666666667,5.883322388488279,54.13220389498431,64.61319490681844,65.37463054498824,Viral Hit
5465.0,Edge at Pan Pacific Hotel Singapore,90.0,international,international,hotel restaurant,"hotel restaurant, casual dining, buffet, family friendly","accommodates 50+ people, have parking, free wifi, indoor seating, private room up to 10 people, accommodates 80+ people",mrtroute:mrt promenade,"mrtroute:mrt promenade, popularzone:promenade","feast & cheers, atas buffet, top restaurants in sg, trendy in sg, group feast, festive deals sg, jolly good finds, buffet lovers’ favourites, vincas_kitchen, roadtrippers.asia, top 20 singapore",4.609219278829825,3668830.0,1031.0,3627.0,23.0,14.0,3558.5160038797285,0.0223084384093113,193995.0,5183.0,562.0,17.0,1985.0,0.0,Edge at Pan Pacific Hotel Singapore,Edge at Pan Pacific Hotel Singapore,International,0.029614165313539,0.0,0.0,,0.0,,0.0,78.3512844330626,70.02200320515463,0.0,0.0,0.0,0.0,35.011001602577316,65.34919958391701,Viral Hit
1433.0,The Seafood Cafe & Restaurant,90.0,thai,"chinese, fusion, thai, international",buffet,"buffet, family friendly, casual dining","accommodates 50+ people, indoor seating",mrtroute:mrt wat mangkon,"mrtroute:mrt hua lamphong, mrtroute:mrt wat mangkon","top 10 restaurant bkk (sg), top 10 restaurant bkk (my), thai restaurants for 50+ guests near mrt si lom, sam yan, hua lamphong, top 10 restaurant bkk (hk), amex, thai family friendly restaurants under 1000 baht near mrt sam yan, mrt hua lamphong, must visit bkk 2025 for hongkong tourists, birthday celebration, top 10 restaurant bkk (tw), time to celebrate, must visit bkk 2025 for korean tourists, celebration redtable awards 2025, buffet mania, best selling weekday, famous restaurants",4.793557412008453,407343280.0,11135.0,33672.0,197.0,163.0,36582.24337674001,0.0176919622810956,10438.0,581.0,43.0,4.0,1446.0,0.0,The Seafood Cafe & Restaurant,เดอะ ซีฟู้ด คาเฟ่ แอนด์ เรสเตอรองท์,Chinese,0.059781567350067,4.6,1197.0,0.74236,0.1442914638620689,30.0,87.11800000000001,58.80275122506562,92.1992194142062,4.3559,4.5023599999999995,7.088408778675395,68.74931858205707,80.47426899813163,65.30420655698542,Cash Cow
2554.0,Bangkok Balcony  (Indoor Zone) 81st floor at Baiyoke Sky Hotel,90.0,international,"japanese, european, chinese, fusion, international, thai",hotel buffet,"hotel restaurant, rooftop, family friendly, chain restaurant, casual dining, hotel buffet","free wifi, have parking, scenic view, indoor seating, accommodates 50+ people, accommodates 80+ people, accommodates 120+ people",popularzone:pratunaam,"popularzone:phaya thai, popularzone:pratunaam","birthday celebration, best selling weekday, hotel buffet recommended, amex, time to celebrate, you&i, celebration redtable awards 2025",4.56814586355218,288750870.0,8153.0,22432.0,203.0,170.0,35416.517846191586,0.0248988102538942,29543.0,619.0,33.0,1.0,672.0,0.0,Bangkok Balcony  (Indoor Zone) 81st floor at Baiyoke Sky Hotel,ห้องอาหารแบงค็อก บัลโคนี โรงแรมใบหยก สกาย (อินดอร์โซน)  81st floor,Japanese,0.0220695257759875,4.0,659.0,0.5964,0.1739703978947368,20.0,79.82000000000001,61.82691512997876,90.35022066865702,3.9910000000000005,3.9964000000000004,6.492239835020471,55.89113526990425,73.12067796928064,65.21504398176931,Cash Cow
