restaurant_id,target_label,ML_Predicted_Segment,prob_declining,prob_stable,prob_rising,prob_hidden_gem,ml_priority_score,expected_kpi,residual_kpi,momentum_score,external_quality_score
5149.0,Declining,Declining,0.9639380596530868,0.035660296954691854,0.0003909678752034805,1.067551701793837e-05,0.023885093192926362,95.83052970159726,2.1091019799050628,99.21485501116014,0.0
5900.0,Stable,Stable,0.10665219988952954,0.8932623017975554,7.671938026516538e-05,8.778932649802355e-06,0.004954320121902017,85.48795697827921,-2.0087462414562367,98.909979548938,0.0
3005.0,Declining,Declining,0.8548304318683512,0.14489928251134518,0.0002355431375421055,3.474248276164097e-05,0.01552228756299197,92.70597567294222,7.294024327057784,80.60199733688911,67.01845460237418
3021.0,Declining,Declining,0.8673795763611861,0.13250995223325326,9.54811711180026e-05,1.4990234442618431e-05,0.006328479644784893,78.1592311709817,-5.251235621883524,89.35099331030538,48.538289663799134
712.0,Stable,Stable,0.03592614776553478,0.9638811142341827,0.00018667288370907,6.0651165734245164e-06,0.01144297768548118,95.04537234172967,4.326134243926617,90.96722658329914,0.0
982.0,Declining,Declining,0.8702940297026984,0.12931816519987063,0.000370655880144339,1.7149217286634623e-05,0.022925321500125724,86.92119684683756,-2.672558471188225,75.57863440353182,38.96057209483936
3862.0,Stable,Stable,0.32658531960146375,0.6704888263629838,0.0028816959461945265,4.41580893579027e-05,0.1746680803459877,91.85712820964784,0.0461292616326858,81.31353814090343,0.0
4751.0,Stable,Stable,0.11603057668889032,0.8836988502159754,0.0002511196942694824,1.9453400864749237e-05,0.015845317690758913,86.99747488305093,0.4573294158044803,78.00143340042436,0.0
2482.0,Declining,Declining,0.7036496481758958,0.2953114333791391,0.00028423360237088484,0.0007546848425941155,0.04724140984601771,85.51630384710225,-1.281738513739981,69.63047225735941,40.52065885495888
1594.0,Declining,Declining,0.9675690367448074,0.02318471523562107,7.565493246725878e-05,0.009170593087104157,0.37136301943220185,87.47429546479067,-0.0815223484401457,59.59019768857415,82.30022788134711
2483.0,Declining,Declining,0.8474472134149801,0.1519898945357514,0.0005368960705596131,2.5995978709034017e-05,0.03325360338193815,87.27793158832785,-4.179567349944591,66.99058648159154,49.55233905934119
915.0,Declining,Declining,0.9001121215905815,0.09857040166617889,0.0012880559168303037,2.9420826409435878e-05,0.07846018806619566,83.48504315878496,-4.1146458072415015,65.14195920265041,58.055369733406906
2382.0,Stable,Stable,0.21907846437160322,0.7440000795412575,0.03690225361403995,1.9202473099500856e-05,2.214903315766377,80.34151601463839,0.1695200273746309,77.2886147988934,0.0
740.0,Declining,Declining,0.762695561827925,0.23718485794713084,9.892046317386006e-05,2.0659761770241437e-05,0.00676161826124126,83.32287503213038,-1.322455298978667,76.41206981507364,0.0
2925.0,Declining,Declining,0.7719846819755845,0.22664799674370906,0.0001612915688834308,0.0012060297118231464,0.05791868260593171,85.81967164831708,6.469720611368473,60.112100749299216,64.26346418300001
2853.0,Stable,Stable,0.17187766039192046,0.8278631497386684,0.0002198049700202692,3.938489939093645e-05,0.01476369417685361,91.79720368289571,0.0185098168889084,61.81392141936573,55.98066113832132
447.0,Declining,Declining,0.9845972994227802,0.015347387535940555,4.981827741916071e-05,5.494763860134586e-06,0.0032088871995550267,80.05779171642263,-4.963605797770072,65.70096010420387,54.13220389498431
5465.0,Declining,Declining,0.7495141576006769,0.2474241213729911,0.003018840998415611,4.2880027916394785e-05,0.18284566102159247,69.4305512691655,0.5914519359891273,78.3512844330626,0.0
1433.0,Declining,Declining,0.8218690822522011,0.17738285089342498,0.0006241948551531489,0.00012387199922073494,0.042406571278018335,91.11838116380608,1.0808382504001202,58.80275122506562,68.74931858205707
2554.0,Declining,Declining,0.9601239429745052,0.039745303024383456,0.00011784284987686558,1.2911151234593048e-05,0.007587017041995657,89.65849830299372,0.6917223656632956,61.82691512997876,55.89113526990425
4889.0,Declining,Declining,0.9622397872868309,0.03722818472406825,0.0005232888692493092,8.739119851557019e-06,0.03174689694902083,93.84565556333293,-1.177667839426519,73.22505926753277,0.0
4509.0,Stable,Stable,0.028439794909095855,0.9639281183927457,0.007624310179016398,7.776519142155635e-06,0.45776967150667003,79.66795478646233,-0.1990107516909063,76.00315929953592,0.0
4797.0,Stable,Stable,0.026343359471670026,0.8854155604280836,0.08822967574579765,1.1404354448787423e-05,5.294236718925811,71.10714362833689,-0.2814596514962346,77.57478969752327,0.0
280.0,Stable,Stable,0.13965922925235147,0.8600225509817092,0.000298146538319328,2.0073227620036157e-05,0.018691721403961126,98.2408036735384,-0.4725039897175946,70.50150259951018,0.0
1157.0,Declining,Declining,0.9623886165282721,0.03594594860576738,0.0012094745312805158,0.00045596033468004577,0.09080688526403277,79.39871730373062,-2.9175134052045024,67.12307762264474,36.88842322371177
425.0,Stable,Stable,0.07406183847363194,0.9258007736051581,0.00011630304483966352,2.108487637017913e-05,0.007821577745186976,85.92911293701776,2.7636303002623066,60.094891576597966,57.388072806101405
4918.0,Stable,Stable,0.05470409024506058,0.9449398612121354,0.00034458895165074774,1.1459591153160116e-05,0.021133720745171267,90.13292860850645,-0.414905772486037,71.69452393444053,0.0
1181.0,Stable,Stable,0.05589128305675593,0.9434955400837817,0.00029541289745046306,0.00031776396201200786,0.0304353323275081,91.38627503431633,1.8985014941078049,58.532710975383736,57.590445939179446
1198.0,Declining,Declining,0.8100518935465828,0.1872747144368776,6.32939114392793e-05,0.0026100981051002366,0.10820155889036621,89.35403950126859,-0.4333036414192435,54.795270828692686,78.64202869735117
3030.0,Stable,Stable,0.09861225853811602,0.9011109985072965,4.314400223070522e-05,0.00023359895235658423,0.011932598228105683,91.28841395896998,1.0150006901670563,57.27611079354097,61.700934879832936
5940.0,Stable,Stable,0.11395912146790478,0.885912201931039,0.00011513387024122462,1.3542730815046708e-05,0.007449741447075346,84.71086803045048,0.4527485250009988,71.59596621678153,0.0
1856.0,Stable,Stable,0.12550345568129564,0.8737153266533808,0.0007652752534229329,1.5942411900587102e-05,0.046554211681399456,96.50251147878004,0.2511949332369028,69.02967255934499,0.0
1483.0,Declining,Declining,0.9636741008380028,0.03619842839367449,0.00010791383651246327,1.9556931810381504e-05,0.007257107463163057,84.90769579041411,-4.3057574829058325,59.31127417044286,59.36904264052715
5594.0,Declining,Declining,0.9111456416321931,0.08675996523549905,0.0020760709920746518,1.8322140233122107e-05,0.125297145133804,68.31907997936015,0.3754194139541056,74.42709359243639,0.0
565.0,Declining,Declining,0.9455829628210949,0.05413581652020011,0.00020713936298951885,7.408129571545326e-05,0.015391613607989262,86.82959333272117,-0.9895588022067444,57.799179033217854,60.10519091720121
643.0,Declining,Declining,0.7597109441437018,0.24004453547606355,0.0001354363512864285,0.00010908402894839155,0.012489542235121371,93.67772060809789,0.1389013000834751,55.155778779151774,63.654281055947706
